IO NO,UNIT,STYLEPIC,STYLE NAME,STYLE DESC,FABRIC ,SHIPMENT DATE,PO NO,COUNTRY,COMBO,2,4,6,8,10,12,14,16,Total,G.TOTAL,REMARKS
186,,,L6RP07KCM20,GMT DYE SS POLO,JACQUARD JERSEY/100% COTTON/180 GSM,2025-08-25 00:00:00,IN01-2025-00060,INDIA,JET BLACK A996-JBLK,,,,12,12,12,12,12,60,1850,
186,,,L6RP07KCM20,GMT DYE SS POLO,JACQUARD JERSEY/100% COTTON/180 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),JET BLACK A996-JBLK,,9.0,10.0,49,55,55,56,45,279,,
186,,,L6RP07KCM20,GMT DYE SS POLO,JACQUARD JERSEY/100% COTTON/180 GSM,2025-08-25 00:00:00,MA02-2025-01325,NETHERLANDS(RTL),JET BLACK A996-JBLK,,,,11,15,14,12,9,61,,
,,,,,,,,SUB TOTAL,,,9.0,10.0,72,82,81,80,66,400,,
186,,,L6RP07KCM20,GMT DYE SS POLO,JACQUARD JERSEY/100% COTTON/180 GSM,2025-08-25 00:00:00,IN01-2025-00060,INDIA,PURE WHITE-G011/11-4001 TCX,,,,12,12,12,12,12,60,,
186,,,L6RP07KCM20,GMT DYE SS POLO,JACQUARD JERSEY/100% COTTON/180 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,,20.0,30.0,126,150,163,142,109,740,,
231,,,L6RP07KCM20,GMT DYE SS POLO,JACQUARD JERSEY/100% COTTON/180 GSM,2025-09-07 00:00:00,MA01-2025-02747,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,11.0,24.0,67.0,70,78,69,46,365,365,,
,,,,,,,,SUB TOTAL,,0.0,38.0,50.0,282,326,337,314,253,1600,,
186,,,L6RP07KCM20,GMT DYE SS POLO,JACQUARD JERSEY/100% COTTON/180 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),ARCTIC SKY-G7N1,,7.0,10.0,30,32,32,30,23,164,,
186,,,L6RP07KCM20,GMT DYE SS POLO,JACQUARD JERSEY/100% COTTON/180 GSM,2025-08-25 00:00:00,IN01-2025-00060,INDIA,ARCTIC SKY-G7N1,,,,12,12,12,12,12,60,,
186,,,L6RP07KCM20,GMT DYE SS POLO,JACQUARD JERSEY/100% COTTON/180 GSM,2025-08-25 00:00:00,MA02-2025-01325,NETHERLANDS(RTL),ARCTIC SKY-G7N1,,,,11,15,14,12,9,61,,
,,,,,,,,SUB TOTAL,,,7.0,10.0,53,59,58,54,44,285,,
IO NO,UNIT,STYLEPIC,STYLE NAME,STYLE DESC,FABRIC ,SHIPMENT DATE,PO NO,COUNTRY,COMBO,2.0,4.0,6.0,8,10,12,14,16,Total,G.TOTAL,REMARKS
235,,,J5YI42KCIV1,SS T-SHIRT_MINIME,STRETCHED RIB/50% ORGANIC COTTON 44% COTTON 6% ELASTANE/270 GSM,2025-09-07 00:00:00,MA01-2025-02675,NETHERLANDS (CLL),JET BLACK A996-JBLK,12.0,15.0,36.0,45,44,45,57,254,254,254,
IO NO,UNIT,STYLEPIC,STYLE NAME,STYLE DESC,FABRIC ,SHIPMENT DATE,PO NO,COUNTRY,COMBO,2.0,4.0,6.0,8,10,12,14,16,Total,G.TOTAL,REMARKS
282,,,L5RI32K8HM4,LS T-SHIRT,SINGLE JERSEY/50% ORGANIC 50% COTTON/160 GSM,2025-09-07 00:00:00,MA01-2025-02675,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,62.0,68.0,53.0,51,54,56,44,28,416,684,
282,,,L5RI32K8HM4,LS T-SHIRT,SINGLE JERSEY/50% ORGANIC 50% COTTON/160 GSM,2025-09-07 00:00:00,MA01-2025-02675,NETHERLANDS (CLL),SMART BLUE-G7V2/19-3924 TCX,34.0,40.0,28.0,44,37,38,25,22,268,,
,,,,,,,,SUB TOTAL,,96.0,7.0,10.0,53,59,58,54,44,285,,
