IO NO ,UNIT ,STYLE PIC,STYLE ,STYLE DESC,FABRIC ,SHIPMENT DATE,PO NO,COUNTRY,Combo,*0/3,*3/6,*6/9,*12,*24,*2,*3,*4,*5,*18,*6,*6X/7,*6X/7.1,Total,GRANT TOTAL,REMARKS
168,,,K6RI07K6YW4,HIGH LOW DIP DYE SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,AU01-2025-00759,AUSTRALIA (DIR),PINK DEEP DYE-F69M,,,,,,8,11,11,11,,11,8,,60,1746,
168,,,K6RI07K6YW4,HIGH LOW DIP DYE SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),PINK DEEP DYE-F69M,,8,28,38,14,65,111,120,123,40,123,95,,765,,
168,,,K6RI07K6YW4,HIGH LOW DIP DYE SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,MA02-2025-01325,NETHERLANDS (CLL),PINK DEEP DYE-F69M,,,,,,6,9,9,6,,6,,,36,,
168,,,K6RI07K6YW4,HIGH LOW DIP DYE SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,MX01-2025-01008,MEXICO (DIR),PINK DEEP DYE-F69M,,,,,,194,229,212,,,,,,635,,
168,,,K6RI07K6YW4,HIGH LOW DIP DYE SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,SP01-2025-00724,SINGAPORE,PINK DEEP DYE-F69M,,,,,,9,14,26,24,,18,13,,104,,
168,,,K6RI07K6YW4,HIGH LOW DIP DYE SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,US01-2025-00730(IK-967380),UNITED STATES (WLS),PINK DEEP DYE-F69M,,,,,,24,24,24,25,,33,16,,146,,
,,,,,,,,SUB TOTAL,,,8,28,38,14,306,398,402,189,40,191,132,,1746,,
IO NO ,UNIT ,STYLE PIC,STYLE ,STYLE DESC,FABRIC ,SHIPMENT DATE,PO NO,COUNTRY,Combo,*0/3,*3/6,*6/9,*12,*24,*2,*3,*4,*5,*18,*6,*6X/7,*6X/7,Total,GRANT TOTAL,REMARKS
169,,,K6RI09K6YW4,SS T SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),CHILI RED-G532/19-1557 TCX,,29,35,45,47,66,121,141,142,52,142,114,,934,4411,
169,,,K6RI09K6YW4,SS T SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,SP01-2025-00724,SINGAPORE,CHILI RED-G532/19-1557 TCX,,,,,,11,19,19,18,,12,11,,90,,
169,,,K6RI09K6YW4,SS T SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,US01-2025-00732(IK-96740),UNITED STATES (WLS),CHILI RED-G532/19-1557 TCX,,,,,,16,16,16,25,,25,16,,114,,
169,,,K6RI09K6YW4,SS T SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-09-08 00:00:00,MA01-2025-02747,A,CHILI RED-G532/19-1557 TCX,,23,33,51,50,58,81,87,74,54,83,61,,655,,
,,,,,,,,SUB TOTAL,,,52,68,96,97,151,237,263,259,106,262,202,,1793,,
169,,,K6RI09K6YW4,SS T SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,SP01-2025-00724,SINGAPORE,PURE WHITE-G011/11-4001 TCX,,2,2,,,14,23,36,33,,23,17,,150,,
169,,,K6RI09K6YW4,SS T SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,,60,70,95,75,167,289,320,322,120,293,139,,1950,,
175,,,K6RI09K6YW4,SS T SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-09-08 00:00:00,MA01-2025-02747,A,PURE WHITE-G011/11-4001 TCX,,22,35,60,56,39,59,52,39,60,52,44,,518,,
,,,,,,,,SUB TOTAL,,,84,107,155,131,220,371,408,394,180,368,200,,2618,,
IO NO ,UNIT ,STYLE PIC,STYLE ,STYLE DESC,FABRIC ,SHIPMENT DATE,PO NO,COUNTRY,Combo,*0/3,*3/6,*6/9,*12,*24,*2,*3,*4,*5,*18,*6,*6X/7,*6X/7,Total,GRANT TOTAL,REMARKS
171,,,K6RI10K6YW4,HIGH LOW SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),BLOOMING AZALEA-A61T/15-2213 TCX,,60,74,79,85,139,190,194,199,90,195,172,,1477,9386,
171,,,K6RI10K6YW4,HIGH LOW SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,US01-2025-00734(IK-96742),UNITED STATES (WLS),BLOOMING AZALEA-A61T/15-2213 TCX,,,,,,14,14,14,22,,22,14,,100,,
171,,,K6RI10K6YW4,HIGH LOW SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,MA02-2025-01325,NETHERLANDS(RTL),BLOOMING AZALEA-A61T/15-2213 TCX,,,,,,38,38,38,24,,22,,,160,,
171,,,K6RI10K6YW4,HIGH LOW SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,MA03-2025-01756,POLAND,BLOOMING AZALEA-A61T/15-2213 TCX,,7,14,18,,19,26,24,19,25,20,,,172,,
171,,,K6RI10K6YW4,HIGH LOW SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,MA03-2025-01761,ITALY,BLOOMING AZALEA-A61T/15-2213 TCX,,4,7,9,,10,14,13,10,13,11,,,91,,
276,,,K6RI10K6YW4,HIGH LOW SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-09-08 00:00:00,MA01-2025-02747,NETHERLANDS (CLL),BLOOMING AZALEA-A61T/15-2213 TCX,,15,22,28,19,54,67,66,64,29,64,55,,483,,
,,,,,,,,SUB TOTAL,,,86,117,134,104,274,349,349,338,157,334,241,,2483,,
171,,,K6RI10K6YW4,HIGH LOW SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,MA02-2025-01325,NETHERLANDS(RTL),PURE WHITE-G011/11-4001 TCX,,,,,,38,38,38,24,,22,,,160,,
