IO NO,UNIT ,STYLE PIC,StyleNo,StyleDesc,BaseFabricQuality,ShipmentDate,PONo,Country,Combo,*7,*8,*10,*12,*14,*16,*18,Total,G.TOTAL,REMAKRS
162,,,J6RI06K6YW4,CROP SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),BLOOMING AZALEA-A61T/15-2213 TCX,62,213,333,375,353,243,,1579,9332,
162,,,J6RI06K6YW4,CROP SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,MX01-2025-01006,MEXICO (DIR),BLOOMING AZALEA-A61T/15-2213 TCX,129,144,209,282,282,225,,1271,,
162,,,J6RI06K6YW4,CROP SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,SP01-2025-00724,SINGAPORE,BLOOMING AZALEA-A61T/15-2213 TCX,,8,12,12,10,8,,50,,
162,,,J6RI06K6YW4,CROP SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,US01-2025-00723(IK-96731,UNITED STATES (WLS),BLOOMING AZALEA-A61T/15-2213 TCX,32,39,48,51,42,27,,239,,
162,,,J6RI06K6YW4,CROP SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,US11-2025-00879(EK-11048),UNITED STATES (WLS),BLOOMING AZALEA-A61T/15-2213 TCX,13,16,20,24,22,19,,114,,
246,,,J6RI06K6YW4,CROP SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-09-08 00:00:00,MA01-2025-02760,NETHERLANDS (CLL),BLOOMING AZALEA-A61T/15-2213 TCX,15,68,84,88,79,56,,390,,
,,,,,,,,,SUB TOTAL,251,488,706,832,788,578,,3643,,
162,,,J6RI06K6YW4,CROP SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),CHILI RED-G532/19-1557 TCX,43,209,247,259,238,204,,1200,,
246,,,J6RI06K6YW4,CROP SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-09-08 00:00:00,MA01-2025-02747,NETHERLANDS (CLL),CHILI RED-G532/19-1557 TCX,14,121,156,179,163,102,,735,,
,,,,,,,,,SUB TOTAL,57,330,403,438,401,306,,1935,,
162,,,J6RI06K6YW4,CROP SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,39,143,231,275,221,173,,1082,,
162,,,J6RI06K6YW4,CROP SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,MX01-2025-01006,MEXICO (DIR),PURE WHITE-G011/11-4001 TCX,87,102,156,223,223,181,,972,,
162,,,J6RI06K6YW4,CROP SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,SP01-2025-00724,SINGAPORE,PURE WHITE-G011/11-4001 TCX,2,9,11,14,8,4,,48,,
1621,,,J6RI06K6YW4,CROP SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,2025-08-25 00:00:00,US01-2025-00723(IK-96731,UNITED STATES (WLS),PURE WHITE-G011/11-4001 TCX,15,19,21,22,16,7,,100,,
