DocDate,PODate,ExCountry,CustomerName,BuyerDivision,MerchandiserName,StyleNo,StyleDesc,BaseFabricQuality,Season,ShipmentDate,DocNo,Images,PONo,Country,Combo,Column_Id,SizeGroupCode,Size,OrderQty
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI10K6YW4,SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-163,,AU01-2025-00758,AUSTRALIA (DIR),PURE WHITE-G011/11-4001 TCX,1.0,*7-16,*7,9
6/6/2025,6/6/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI28K6YW4,MIDI SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,7/9/2025,ESS-APP-SO-2526-255,,AU01-2025-01058,AUSTRALIA (DIR),SECRET BLUE-G7HR/19-4111 TCX,1.0,*7-16,*7,8
6/6/2025,6/6/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI30KCNQ4,BATWING SS T-SHIRT,HEAVY JERSEY/50% ORGANIC COTTON 50% COTTON/210 GSM,PRESPRING-2026,7/9/2025,ESS-APP-SO-2526-261,,AU01-2025-01059,AUSTRALIA (DIR),SILK TIE BLUE-G7GM/16-4031 TCX,1.0,*7-16,*7,8
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI10K6YW4,SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-163,,IN01-2025-00057,INDIA,BLUSHED BRIDE-G62O/12-1310 TCX,1.0,*7-16,*7,12
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI10K6YW4,SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-163,,IN01-2025-00057,INDIA,LIGHT BLUE SKY-A732/15-4031 TCX,1.0,*7-16,*7,12
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI29KBZP4,RIB LS T-SHIRT,LYCRA DURBY RIB/50% ORGANIC COTTON 46% COTTON 4% LYCRA/230 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-165,,IN01-2025-00058,INDIA,BLOOMING AZALEA-A61T/15-2213 TCX,1.0,*7-16,*7,12
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI29KBZP4,RIB LS T-SHIRT,LYCRA DURBY RIB/50% ORGANIC COTTON 46% COTTON 4% LYCRA/230 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-165,,IN01-2025-00058,INDIA,JET BLACK A996-JBLK,1.0,*7-16,*7,12
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI29KBZP4,RIB LS T-SHIRT,LYCRA DURBY RIB/50% ORGANIC COTTON 46% COTTON 4% LYCRA/230 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-165,,IN01-2025-00058,INDIA,PURE WHITE-G011/11-4001 TCX,1.0,*7-16,*7,12
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI29KBZP4,RIB LS T-SHIRT,LYCRA DURBY RIB/50% ORGANIC COTTON 46% COTTON 4% LYCRA/230 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-165,,IN01-2025-00058,INDIA,SECRET BLUE-G7HR/19-4111 TCX,1.0,*7-16,*7,12
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,L6RI08K8HM4,OVERSIZE SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-181,,IN01-2025-00059,INDIA,TANZANITE-A70K/19-3954 TCX,1.0,*7-16,*7,12
6/6/2025,6/6/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI30KCNQ4,BATWING SS T-SHIRT,HEAVY JERSEY/50% ORGANIC COTTON 50% COTTON/210 GSM,PRESPRING-2026,7/9/2025,ESS-APP-SO-2526-261,,IN01-2025-00081,INDIA,NUDE SAND-G1G1/15-1314 TCX,1.0,*7-16,*7,12
